Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"verifyTextPresent(""All Members"", false)",Chrome 78.0.3904.97,,2019-11-12 10:49:05,2019-11-12 10:49:05,0.168s,PASSED
"click(findTestObject(""referYourColleague/referaColleaguelink""))",Chrome 78.0.3904.97,,2019-11-12 10:49:05,2019-11-12 10:49:06,1.476s,PASSED
"verifyTextPresent(""Refer Your Colleagues to Inside Track!"", false)",Chrome 78.0.3904.97,,2019-11-12 10:49:06,2019-11-12 10:49:06,0.056s,PASSED
"expectedPlaceholder = ""Please list names, email addresses, and titles of colleagues you would like to refer.""",Chrome 78.0.3904.97,,2019-11-12 10:49:06,2019-11-12 10:49:06,0.000s,PASSED
"placeholdercurrent = getAttribute(findTestObject(""referYourColleague/requestedNames""), ""placeholder"")",Chrome 78.0.3904.97,,2019-11-12 10:49:06,2019-11-12 10:49:07,0.054s,PASSED
if (expectedPlaceholder != placeholdercurrent),Chrome 78.0.3904.97,,2019-11-12 10:49:07,2019-11-12 10:49:07,0.001s,PASSED
"verifyMatch(placeholdercurrent, expectedPlaceholder, false)",Chrome 78.0.3904.97,,2019-11-12 10:49:07,2019-11-12 10:49:07,0.020s,PASSED
"Message = ""Please provide an Inside Track registration link to the names, emails and titles listed above.""",Chrome 78.0.3904.97,,2019-11-12 10:49:07,2019-11-12 10:49:07,0.000s,PASSED
"placeholderMessage = getText(findTestObject(""referYourColleague/message""))",Chrome 78.0.3904.97,,2019-11-12 10:49:07,2019-11-12 10:49:07,0.030s,PASSED
"verifyMatch(Message, placeholderMessage, false)",Chrome 78.0.3904.97,,2019-11-12 10:49:07,2019-11-12 10:49:07,0.002s,PASSED
"setText(findTestObject(""referYourColleague/requestedNames""), ""Name 1:abcd"")",Chrome 78.0.3904.97,,2019-11-12 10:49:07,2019-11-12 10:49:07,0.135s,PASSED
"sendKeys(findTestObject(""referYourColleague/requestedNames""), Keys.chord(ENTER))",Chrome 78.0.3904.97,,2019-11-12 10:49:07,2019-11-12 10:49:07,0.080s,PASSED
"sendKeys(findTestObject(""referYourColleague/requestedNames""), ""Name 2:xyz"")",Chrome 78.0.3904.97,,2019-11-12 10:49:07,2019-11-12 10:49:07,0.057s,PASSED
"sendKeys(findTestObject(""referYourColleague/requestedNames""), Keys.chord(ENTER))",Chrome 78.0.3904.97,,2019-11-12 10:49:07,2019-11-12 10:49:07,0.047s,PASSED
"sendKeys(findTestObject(""referYourColleague/requestedNames""), ""Name 3:efg"")",Chrome 78.0.3904.97,,2019-11-12 10:49:07,2019-11-12 10:49:07,0.058s,PASSED
"click(findTestObject(""referYourColleague/submitBtn""))",Chrome 78.0.3904.97,,2019-11-12 10:49:07,2019-11-12 10:49:08,1.173s,PASSED
"verifyElementPresent(findTestObject(""referYourColleague/successReferYourColleagues""), 2)",Chrome 78.0.3904.97,,2019-11-12 10:49:08,2019-11-12 10:49:08,0.016s,PASSED
